District / Commissionerate Name,Police Station Name,Type
Mumbai City Commissionerate,Colaba,Commissionerate
Mumbai City Commissionerate,Cuffe Parade,Commissionerate
Mumbai City Commissionerate,Marine Lines,Commissionerate
Mumbai City Commissionerate,Azad Maidan,Commissionerate
Mumbai City Commissionerate,Pydhonie,Commissionerate
Mumbai City Commissionerate,Nagpada,Commissionerate
Mumbai City Commissionerate,Agripada,Commissionerate
Mumbai City Commissionerate,VP Road,Commissionerate
Mumbai City Commissionerate,Gamdevi,Commissionerate
Mumbai City Commissionerate,Malabar Hill,Commissionerate
Mumbai City Commissionerate,Tardeo,Commissionerate
Mumbai City Commissionerate,DB Marg,Commissionerate
Mumbai City Commissionerate,Worli,Commissionerate
Mumbai City Commissionerate,N M Joshi Marg,Commissionerate
Mumbai City Commissionerate,Kalachowki,Commissionerate
Mumbai City Commissionerate,Byculla,Commissionerate
Mumbai City Commissionerate,Mazgaon,Commissionerate
Mumbai City Commissionerate,Dongri,Commissionerate
Mumbai City Commissionerate,Mandvi,Commissionerate
Mumbai City Commissionerate,Bhendi Bazar,Commissionerate
Mumbai City Commissionerate,Crawford Market,Commissionerate
Mumbai City Commissionerate,Matunga,Commissionerate
Mumbai City Commissionerate,Dadar,Commissionerate
Mumbai City Commissionerate,Dharavi,Commissionerate
Mumbai City Commissionerate,Sion,Commissionerate
Mumbai City Commissionerate,Antop Hill,Commissionerate
Mumbai City Commissionerate,Wadala,Commissionerate
Mumbai City Commissionerate,Chembur,Commissionerate
Mumbai City Commissionerate,Govandi,Commissionerate
Mumbai City Commissionerate,Mankhurd,Commissionerate
Mumbai City Commissionerate,Trombay,Commissionerate
Mumbai City Commissionerate,Kurla,Commissionerate
Mumbai City Commissionerate,Chunabhatti,Commissionerate
Mumbai City Commissionerate,Tilak Nagar,Commissionerate
Mumbai City Commissionerate,Bandra,Commissionerate
Mumbai City Commissionerate,Khar,Commissionerate
Mumbai City Commissionerate,Santa Cruz,Commissionerate
Mumbai City Commissionerate,Vakola,Commissionerate
Mumbai City Commissionerate,Kalina,Commissionerate
Mumbai City Commissionerate,Andheri,Commissionerate
Mumbai City Commissionerate,MIDC Andheri,Commissionerate
Mumbai City Commissionerate,Sahar,Commissionerate
Mumbai City Commissionerate,DN Nagar,Commissionerate
Mumbai City Commissionerate,Vile Parle,Commissionerate
Mumbai City Commissionerate,Juhu,Commissionerate
Mumbai City Commissionerate,Versova,Commissionerate
Mumbai City Commissionerate,Goregaon,Commissionerate
Mumbai City Commissionerate,Dindoshi,Commissionerate
Mumbai City Commissionerate,Malad,Commissionerate
Mumbai City Commissionerate,Kandivali,Commissionerate
Mumbai City Commissionerate,Samata Nagar,Commissionerate
